what,kind,bundleId,bundleVersion,description,time
started,bundle,com.python.pydev.refactoring,4.4.0.201510052309,"com.python.pydev.refactoring",1451304162409
started,bundle,org.python.pydev,4.4.0.201510052309,"org.python.pydev",1451304162437
started,bundle,org.python.pydev.core,4.4.0.201510052309,"org.python.pydev.core",1451304162465
started,bundle,org.python.pydev.debug,4.4.0.201510052309,"org.python.pydev.debug",1451304162496
started,bundle,org.python.pydev.django,4.4.0.201510052309,"org.python.pydev.django",1451304162519
started,bundle,org.python.pydev.jython,4.4.0.201510052309,"org.python.pydev.jython",1451304162622
started,bundle,org.python.pydev.parser,4.4.0.201510052309,"org.python.pydev.parser",1451304162647
started,bundle,org.python.pydev.refactoring,4.4.0.201510052309,"org.python.pydev.refactoring",1451304162748
started,bundle,org.python.pydev.shared_core,4.4.0.201510052309,"org.python.pydev.shared_core",1451304162812
started,bundle,org.python.pydev.shared_interactive_console,4.4.0.201510052309,"org.python.pydev.shared_interactive_console",1451304162838
started,bundle,org.python.pydev.shared_ui,4.4.0.201510052309,"org.python.pydev.shared_ui",1451304162936
os,sysinfo,,,"win32",1451304162945
arch,sysinfo,,,"x86_64",1451304162945
ws,sysinfo,,,"win32",1451304162945
locale,sysinfo,,,"zh_CN",1451304162945
processors,sysinfo,,,"4",1451304162945
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1451304162945
java.runtime.version,sysinfo,,,"1.7.0_01-b08",1451304162945
java.specification.name,sysinfo,,,"Java Platform API Specification",1451304162945
java.specification.vendor,sysinfo,,,"Oracle Corporation",1451304162945
java.specification.version,sysinfo,,,"1.7",1451304162945
java.vendor,sysinfo,,,"Oracle Corporation",1451304162945
java.version,sysinfo,,,"1.7.0_01",1451304162945
java.vm.info,sysinfo,,,"mixed mode",1451304162945
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1451304162945
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1451304162945
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1451304162945
java.vm.specification.version,sysinfo,,,"1.7",1451304162946
java.vm.vendor,sysinfo,,,"Oracle Corporation",1451304162946
java.vm.version,sysinfo,,,"21.1-b02",1451304162946
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1451304167438
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1451304168507
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1451304168553
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1451304168972
opened,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1451304169458
started,bundle,net.sourceforge.phpeclipse,1.1.8,"net.sourceforge.phpeclipse",1451304170797
started,bundle,org.eclipse.jdt.core,3.7.1.v_B76_R37x,"org.eclipse.jdt.core",1451304171530
started,bundle,com.android.ide.eclipse.ddms,16.0.0.v201112072138-234950,"com.android.ide.eclipse.ddms",1451304172516
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1451304172626
started,bundle,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui",1451304172724
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1451304174060
started,bundle,com.android.ide.eclipse.adt,16.0.0.v201112072138-234950,"com.android.ide.eclipse.adt",1451304174062
error,log,,,"DDMS files not found: C:\\eclipse\\platform-tools\\adb.exe C:\\eclipse\\tools\\hprof-conv.exe C:\\eclipse\\tools\\traceview.bat ",1451304174338
started,bundle,com.android.ide.eclipse.traceview,16.0.0.v201112072138-234950,"com.android.ide.eclipse.traceview",1451304174408
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1451304174424
started,bundle,org.eclipse.dltk.core,3.0.1.v20110823,"org.eclipse.dltk.core",1451304175464
started,bundle,org.eclipse.dltk.launching,3.0.0.v20110423,"org.eclipse.dltk.launching",1451304175707
started,bundle,org.eclipse.dltk.ui,3.0.1.v20110823,"org.eclipse.dltk.ui",1451304175802
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1451304175992
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.100.v201201031437,"org.eclipse.jst.ws.jaxws.utils",1451304176030
started,bundle,org.eclipse.libra.facet.ui,0.1.1.201202130952,"org.eclipse.libra.facet.ui",1451304176054
started,bundle,org.eclipse.jdt.launching,3.6.1.v20110803_r371,"org.eclipse.jdt.launching",1451304176265
started,bundle,org.eclipse.pde.core,3.7.1.v20110822-2108,"org.eclipse.pde.core",1451304176395
started,bundle,org.eclipse.libra.facet,0.1.2.201202130952,"org.eclipse.libra.facet",1451304176398
started,bundle,com.python.pydev.debug,4.4.0.201510052309,"com.python.pydev.debug",1451304176471
activated,view,org.python.pydev,4.4.0.201510052309,"org.python.pydev.navigator.view",1451307326286
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1451307326554
